"","mu.A1A2hat.sm","mu.A1A3hat.sm","mu.A2A1hat.sm","mu.A2A3hat.sm","mu.A3A1hat.sm","mu.A3A2hat.sm","var.A1A2hat.sm","var.A1A3hat.sm","var.A2A1hat.sm","var.A2A3hat.sm","var.A3A1hat.sm","var.A3A2hat.sm","mu.A1A2hat.ipw","mu.A1A3hat.ipw","mu.A2A1hat.ipw","mu.A2A3hat.ipw","mu.A3A1hat.ipw","mu.A3A2hat.ipw","var.A1A2hat.ipw","var.A1A3hat.ipw","var.A2A1hat.ipw","var.A2A3hat.ipw","var.A3A1hat.ipw","var.A3A2hat.ipw","mu.A1A2hat.ipwn","mu.A1A3hat.ipwn","mu.A2A1hat.ipwn","mu.A2A3hat.ipwn","mu.A3A1hat.ipwn","mu.A3A2hat.ipwn","var.A1A2hat.ipwn","var.A1A3hat.ipwn","var.A2A1hat.ipwn","var.A2A3hat.ipwn","var.A3A1hat.ipwn","var.A3A2hat.ipwn","mu.A1A2hat.g","mu.A1A3hat.g","mu.A2A1hat.g","mu.A2A3hat.g","mu.A3A1hat.g","mu.A3A2hat.g","var.A1A2hat.g","var.A1A3hat.g","var.A2A1hat.g","var.A2A3hat.g","var.A3A1hat.g","var.A3A2hat.g","n.A1A2","n.A1A3","n.A2A1","n.A2A3","n.A3A1","n.A3A2","rn.A1A2","rn.A1A3","rn.A2A1","rn.A2A3","rn.A3A1","rn.A3A2","NR","est.opt.sm","est.opt.ipw","est.opt.ipwn","est.opt.g","est.wor.sm","est.wor.ipw","est.wor.ipwn","est.wor.g"
"1",0.785310734463277,0.788235294117647,0.646258503401361,0.635658914728682,0.447154471544715,0.513513513513513,0.000952529857627263,0.000981884795440668,0.00155515952505302,0.00179532293685764,0.0020098158546527,0.00337591060746649,0.762049285249674,0.714920673910663,0.563887038535897,0.459641407989067,0.358925375097179,0.26639656739878,0.00376957242793065,0.00345236391213296,0.00311313915729801,0.002478319215163,0.0023049065784906,0.00519870142154454,0.680490689376142,0.704657334275927,0.551326542207561,0.46633517729688,0.386515619456591,0.346502969175511,0.00204919378524802,0.00163354388306939,0.00197353819189,0.00209631368108985,0.00168430955183731,0.00375193368298176,0.696076579129668,0.678481012658228,0.549993343096791,0.462526389866291,0.392151162790698,0.252027027027027,0.00138970041781807,0.00152639806947884,0.00171795047118486,0.00178689810536722,0.00183190381674334,0.00147185468716068,177,170,147,129,123,74,139,134,95,82,55,38,323,2,1,2,1,5,6,6,6
"2",0.795580110497238,0.807909604519774,0.624242424242424,0.692307692307692,0.453703703703704,0.444444444444444,0.000898521537449949,0.000876789126804951,0.00142159890920221,0.00182066454255803,0.00229496900878931,0.00304831580551745,0.688686179124199,0.684156519094929,0.60506173393258,0.450354489643247,0.401576132671711,0.268064508804531,0.00286342433741556,0.00286347844901993,0.00320781215848557,0.00255725938047966,0.00330297366793919,0.00228189334410323,0.698997095657659,0.707716938741316,0.538498920946641,0.504430281601552,0.383126682735231,0.272329138191657,0.00151709103061135,0.00151347139739546,0.00208824021011054,0.00211777735150176,0.00240515672416024,0.0022648351154172,0.697069807526573,0.701386748844376,0.560708534621578,0.453416149068323,0.381914180355347,0.268815806577408,0.00134094241004389,0.00140572634092484,0.00149803423466347,0.0020055629558081,0.00207130255369965,0.00184160483444236,181,177,165,117,108,81,144,143,103,81,49,36,327,2,1,2,2,6,6,6,6
"3",0.805714285714286,0.805714285714286,0.672222222222222,0.703703703703704,0.478723404255319,0.3125,0.000894507288629738,0.000894507288629738,0.00122410836762689,0.00154448000812884,0.0026547585795055,0.00335693359375,0.669341173583826,0.690355260257781,0.649095797956541,0.507918657393506,0.41656919811814,0.131587345879205,0.00271254269855965,0.00303181148588927,0.00298877821191072,0.00288272354410784,0.00397373171854863,0.000940184307833498,0.713786316518004,0.70337512950804,0.610061228854234,0.513727883337478,0.435443470824167,0.120062956689891,0.00139019786623373,0.00160302760030426,0.00167722723253473,0.00234671884031218,0.00249978315999119,0.00149178068784374,0.709401709401709,0.709401709401709,0.607307029304731,0.478863998500328,0.435971223021583,0.155875299760192,0.00140720424357788,0.00140720424357788,0.00136759863111399,0.00176864520426068,0.00261308130453352,0.00117152567245699,175,175,180,135,94,64,141,141,121,95,45,20,340,1,2,1,1,6,6,6,6
"4",0.765027322404372,0.814207650273224,0.732394366197183,0.617886178861789,0.484848484848485,0.431818181818182,0.000982297914640269,0.000826631434479668,0.00138023139830852,0.00191953535636883,0.00252293365241024,0.0027880822689707,0.668999811319446,0.712157075728263,0.631743490429201,0.455033388687632,0.397287484486803,0.305324097933702,0.00286790642607893,0.0029229651734608,0.00346057666180428,0.00311853367040225,0.00334690764997015,0.00280402897511797,0.642246922503543,0.727233432136318,0.679601070858175,0.42400747304442,0.403968252392251,0.30488132130754,0.00180763779012467,0.00143439119391996,0.00152979150133235,0.00270366452658321,0.00239120810567784,0.00242119252516373,0.650406504065041,0.723577235772358,0.664781144781145,0.444715007215007,0.399038461538462,0.297121007647323,0.00137544693388824,0.00133030668474631,0.0017491257675326,0.00185083037696811,0.00234451000473016,0.00199882396210035,183,183,142,123,99,88,140,149,104,76,48,38,337,2,2,2,2,6,6,6,6
"5",0.809278350515464,0.818652849740933,0.638461538461538,0.56910569105691,0.475247524752475,0.45679012345679,0.000795602587125948,0.000769224670217526,0.00177560309512972,0.00199369433710201,0.00246918133632793,0.00306336921690272,0.745772811154318,0.765822259963266,0.526483649361849,0.465894956057976,0.37501214686497,0.277130485741188,0.00302621635957806,0.00323570677802529,0.00313220563945472,0.0035150864076631,0.00297688435893395,0.00237190695655394,0.725452604139309,0.711676567996512,0.562588108548078,0.410928206275661,0.396149262218536,0.313267944095053,0.00144882109164968,0.00176503534867268,0.00182366931612913,0.00281406747414915,0.00214330429228639,0.00206977298825062,0.712144212523719,0.723240115718419,0.539349499056193,0.423727448453608,0.398297067171239,0.300662251655629,0.00125173962407381,0.00125514079816539,0.00200418810124373,0.00182506490374905,0.00227836789948532,0.00217055101858841,194,193,130,123,101,81,157,158,83,70,48,37,331,2,2,1,2,6,6,6,6
"6",0.748466257668712,0.781065088757396,0.690217391304348,0.7265625,0.475247524752475,0.447368421052632,0.00115499704785341,0.00101184861468519,0.00116205078285526,0.00155210494995117,0.00246918133632793,0.00325302522233562,0.589308857366484,0.664586750871397,0.665617739836517,0.480071980937627,0.447637582921615,0.343807395543428,0.00256712460098264,0.00303263589553619,0.00296246836938787,0.00285007200873766,0.00424816134827435,0.0047478621788837,0.610873024676243,0.688761718885167,0.622895593834408,0.509432741507589,0.417460517534358,0.34206111004829,0.00177233937549597,0.00157641016217366,0.00168676660826141,0.00248332679003808,0.0028587483927648,0.00356388956505188,0.616031746031746,0.687025089605735,0.639508928571429,0.46875,0.415011037527594,0.304635761589404,0.00155735453534736,0.00146225918130419,0.00130159769160175,0.00182320731026786,0.00236539548217234,0.00250808100376683,163,169,184,128,101,76,122,132,127,93,48,34,335,2,3,2,2,6,6,6,6
"7",0.782608695652174,0.826815642458101,0.684931506849315,0.65,0.466666666666667,0.423913043478261,0.000924632201857483,0.000799952714216195,0.0014780845053044,0.00189583333333333,0.00237037037037037,0.00265446494616586,0.649742826307185,0.66306200146575,0.622353204592803,0.48674046354691,0.400911445600783,0.30002297682676,0.00258231778199496,0.0025492067916355,0.0035200864243534,0.00341593646458495,0.00347148260213981,0.0028549342695408,0.67196487019011,0.745423241426824,0.61216125583358,0.472779459708056,0.382667927863089,0.292112758273306,0.00150056827605048,0.00117771654052596,0.00191413948527404,0.00268808036076993,0.00253479356491069,0.00246348123031405,0.676996944565692,0.726056842608073,0.611839936713033,0.46491489997014,0.384565288179746,0.293403120679439,0.00130916805570423,0.00136429590318564,0.00173094829558007,0.00198647188863669,0.00216913527144916,0.00192611557305791,184,179,146,120,105,92,144,148,100,78,49,39,332,2,2,2,2,6,6,6,6
"8",0.76271186440678,0.771276595744681,0.606451612903226,0.666666666666667,0.481818181818182,0.45679012345679,0.00102249986610121,0.000938345790431792,0.00153979389748582,0.00205761316872428,0.00226972201352367,0.00306336921690272,0.632596367106013,0.69199954445731,0.571912463175044,0.40944089558145,0.406113362718152,0.305773113643523,0.00263086278753365,0.00284925522979592,0.00321147187267857,0.00243370516053109,0.00310312596775412,0.00402926569578294,0.628594623898693,0.658630081279536,0.532624625753776,0.479382936423756,0.408865421093398,0.310049561362761,0.00178210569914211,0.00177750824624605,0.00200318346400364,0.00203845491239716,0.00219933331048742,0.00323200242111737,0.621926229508197,0.676474186444825,0.544230878914048,0.430021754894851,0.416303821964199,0.282762161468361,0.00142712524524158,0.00129393448536798,0.00160258829704904,0.00212003796931329,0.0021491618821548,0.00200824105357855,177,188,155,108,110,81,135,145,94,72,53,37,317,2,2,2,2,6,6,6,6
"9",0.763736263736264,0.779005524861878,0.68,0.67175572519084,0.467391304347826,0.328947368421053,0.000991446061485912,0.000951137663516838,0.00145066666666667,0.0016832058844593,0.00270583340182461,0.0029044868056568,0.635499257291727,0.653870108474248,0.611384747503204,0.534517677359681,0.389052930899076,0.241423770245176,0.00259090010118453,0.00274798187913788,0.00336226793865126,0.00335132417187993,0.00364645363092896,0.00422068157349433,0.639195543547555,0.685353273451569,0.594799909120325,0.526532028397598,0.41321765610589,0.233631618867426,0.00167481977334217,0.00144567363473118,0.00194236060708073,0.00236170711269616,0.00241983261841923,0.00337938018526442,0.6489446435683,0.668083383930378,0.596613912403386,0.522260968291298,0.411411411411411,0.212355212355212,0.00137309377853769,0.00139048383271425,0.00171302232051817,0.0020133125958601,0.00262426279321553,0.00174107353301164,182,181,150,131,92,76,139,141,102,88,43,25,326,2,2,2,2,6,6,6,6
"10",0.761904761904762,0.878947368421053,0.647482014388489,0.639097744360902,0.409090909090909,0.402777777777778,0.000863837598531476,0.0005599941682461,0.00164207953548139,0.0017342241918324,0.00274699474079639,0.00334094221536351,0.768031669575046,0.78105253292352,0.518345249371709,0.498760940090598,0.300384389040973,0.257092425589917,0.00326499330374154,0.00304513730221834,0.00279963080705217,0.00292358659573871,0.00264255387893062,0.0036303318800565,0.629553993698048,0.814898196214445,0.535014084612865,0.493262700729994,0.335035729961738,0.287232303588178,0.00223081248319228,0.00111098453604749,0.00189421311815221,0.002196697689045,0.00201039004255691,0.00279979067985802,0.671331636980492,0.790663534938344,0.53594489883771,0.502121640735502,0.330882352941177,0.262254901960784,0.00111899114469466,0.00124871029831528,0.00183920929878599,0.00188033526656246,0.00231980801890393,0.00217604312726629,210,190,139,133,88,72,160,167,90,85,36,29,335,2,2,2,2,6,6,6,6
